CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C12543,3929.71,1.00,935.71,0.00,935.71,5093.45,0.83,0.00,0.75,0.17,3,34,6000,6409.77,1447.89,0.00,12
C12544,6909.06,1.00,473.51,70.00,403.51,1031.58,0.58,0.08,0.50,0.17,4,11,7500,1593.90,3196.17,0.00,12
C12545,1054.91,1.00,885.44,0.00,885.44,0.00,0.83,0.00,0.83,0.00,0,111,1000,1057.25,1613.40,0.00,12
C12546,3664.28,1.00,493.34,260.00,233.34,0.00,0.42,0.08,0.42,0.00,0,6,9500,1050.91,821.07,0.00,12
C12547,6443.08,0.91,2155.13,1325.34,829.79,1650.04,1.00,0.58,1.00,0.42,17,75,7500,9689.60,3163.40,0.00,12
C12548,4570.05,1.00,888.98,888.98,0.00,1825.93,0.42,0.42,0.00,0.17,2,7,6000,1179.35,1200.96,0.00,12
C12549,3573.58,0.89,2513.46,2513.46,0.00,6181.23,0.22,0.22,0.00,0.44,12,6,9000,4776.37,836.64,0.00,9
C12550,96.70,0.55,1475.23,1475.23,0.00,0.00,1.00,1.00,0.00,0.00,0,14,4000,1595.02,34.82,0.00,12
C12551,4968.77,1.00,3441.30,2416.70,1024.60,0.00,1.00,0.33,0.83,0.00,0,26,11500,1385.72,1499.39,0.00,12
C12552,1031.94,0.73,2308.00,608.00,1700.00,0.00,0.42,0.08,0.33,0.00,0,9,3000,245.91,564.47,0.00,12
C12553,3.85,0.50,182.08,0.00,182.08,0.00,1.00,0.00,0.88,0.00,0,8,1500,191.07,54.73,0.50,8
C12554,166.26,0.91,1377.31,827.35,549.96,133.88,1.00,0.08,1.00,0.08,1,14,16000,1770.05,190.75,0.09,12
C12555,1589.45,1.00,255.75,187.00,68.75,0.00,0.33,0.17,0.17,0.00,0,5,3500,599.04,586.69,0.00,12
C12556,2305.31,1.00,255.70,229.02,26.68,14.22,0.55,0.45,0.18,0.09,1,8,6500,620.44,505.94,0.00,11
C12557,818.31,0.55,1071.80,1020.00,51.80,752.29,0.33,0.25,0.17,0.17,3,6,2500,4763.08,751.74,0.20,12
C12558,102.75,1.00,1063.69,0.00,1063.69,0.00,1.00,0.00,1.00,0.00,0,29,7000,1928.09,164.69,0.45,12
C12559,11416.65,1.00,1347.70,0.00,1347.70,0.00,0.58,0.00,0.58,0.00,0,9,15500,2704.08,2580.56,0.00,12
C12560,2008.00,1.00,75.50,75.50,0.00,0.00,0.17,0.17,0.00,0.00,0,2,5000,485.39,603.34,0.00,12
C12561,5880.22,0.67,0.00,0.00,0.00,10590.41,0.00,0.00,0.00,0.17,1,0,11500,1828.24,1952.04,0.00,6
C12562,5354.11,1.00,0.00,0.00,0.00,2660.07,0.00,0.00,0.00,0.33,7,0,7000,1408.44,1229.00,0.00,12
C12563,3207.61,0.91,0.00,0.00,0.00,3766.79,0.00,0.00,0.00,0.09,5,0,9000,750.54,1131.59,0.00,11
C12564,4319.53,1.00,0.00,0.00,0.00,9085.91,0.00,0.00,0.00,0.67,19,0,7500,10339.94,1348.61,0.00,12
C12565,1343.17,1.00,291.62,0.00,291.62,1461.72,1.00,0.00,0.86,0.14,4,7,1500,276.34,849.32,0.00,7
C12566,705.65,1.00,1325.21,1017.21,308.00,0.00,0.75,0.58,0.42,0.00,0,14,3000,860.27,227.00,0.00,12
C12567,112.01,1.00,229.00,229.00,0.00,0.00,0.18,0.18,0.00,0.00,0,4,150,119.63,252.52,0.00,11
C12568,1978.04,1.00,0.00,0.00,0.00,1922.46,0.00,0.00,0.00,0.17,4,0,5500,1481.14,477.28,0.00,12
C12569,468.77,1.00,585.68,445.98,139.70,856.78,0.67,0.42,0.42,0.75,19,12,4500,1368.20,201.96,0.00,12
C12570,15.53,0.09,0.00,0.00,0.00,1630.32,0.00,0.00,0.00,0.08,4,0,2000,1898.35,32.59,0.00,12
C12571,1003.06,1.00,1627.00,1627.00,0.00,0.00,0.33,0.33,0.00,0.00,0,12,1200,1897.17,613.91,0.00,12
C12572,220.94,1.00,2310.61,1375.61,935.00,0.00,1.00,1.00,0.50,0.00,0,33,18000,2588.89,190.03,1.00,12
C12573,5236.29,1.00,1780.79,1080.65,700.14,657.94,1.00,0.67,1.00,0.17,5,93,17000,1230.81,1182.65,0.00,12
C12574,505.33,0.91,5176.62,5176.62,0.00,0.00,0.67,0.67,0.00,0.00,0,33,8500,4971.98,172.89,0.60,12
C12575,17.90,0.91,265.97,0.00,265.97,0.00,1.00,0.00,0.92,0.00,0,14,1000,224.53,120.55,0.55,12
C12576,5550.17,1.00,1026.26,1026.26,0.00,256.96,0.58,0.58,0.00,0.08,1,12,11000,1322.74,1417.70,0.00,12
C12577,236.51,1.00,2692.65,2072.32,620.33,0.00,1.00,1.00,0.58,0.00,0,45,1500,2375.56,178.35,1.00,12
C12578,1132.28,1.00,0.00,0.00,0.00,68.52,0.00,0.00,0.00,0.08,1,0,1200,281.61,240.37,0.00,12
C12579,247.86,0.45,0.00,0.00,0.00,872.98,0.00,0.00,0.00,0.33,10,0,1200,253.66,260.22,0.00,12
C12580,3312.22,1.00,3729.70,2169.35,1560.35,0.00,1.00,1.00,1.00,0.00,0,81,8000,4974.33,931.23,0.00,12
C12581,1373.25,1.00,0.00,0.00,0.00,79.44,0.00,0.00,0.00,0.17,3,0,1500,303.78,466.08,0.00,12
C12582,71.54,1.00,561.38,0.00,561.38,0.00,1.00,0.00,1.00,0.00,0,32,1500,482.87,168.93,0.42,12
C12583,0.00,0.00,609.00,0.00,609.00,0.00,1.00,0.00,1.00,0.00,0,12,2500,893.43,,0.00,12
C12584,147.42,0.18,1074.00,1074.00,0.00,0.00,0.08,0.08,0.00,0.00,0,2,5500,0.00,,0.00,12
C12585,774.65,1.00,190.54,0.00,190.54,2467.20,0.42,0.00,0.33,0.25,4,6,1200,2365.52,423.02,0.17,12
C12586,727.47,1.00,420.88,0.00,420.88,429.48,0.42,0.00,0.33,0.33,4,7,4500,1190.42,205.53,0.00,12
C12587,1115.21,1.00,30.00,30.00,0.00,1484.67,0.08,0.08,0.00,0.42,11,1,1500,1839.91,570.91,0.08,12
C12588,366.44,0.64,0.00,0.00,0.00,2838.75,0.00,0.00,0.00,0.08,3,0,3000,4634.13,476.22,0.25,12
C12589,3891.35,1.00,3629.80,50.00,3579.80,2538.56,1.00,0.08,1.00,0.17,5,254,7500,8259.41,4725.47,0.08,12
C12590,7442.60,1.00,1080.00,0.00,1080.00,3968.68,0.67,0.00,0.67,0.25,29,24,8500,4365.06,6019.77,0.00,12
C12591,752.49,0.73,0.00,0.00,0.00,1075.24,0.00,0.00,0.00,0.08,4,0,1200,1321.80,145.45,0.00,12
C12592,537.49,1.00,1672.99,972.01,700.98,0.00,0.58,0.42,0.42,0.00,0,25,1600,1306.53,968.82,0.25,12
C12593,1890.95,1.00,0.00,0.00,0.00,4561.09,0.00,0.00,0.00,0.25,7,0,2500,4847.51,507.64,0.09,12
C12594,11.27,0.64,248.31,0.00,248.31,0.00,0.42,0.00,0.42,0.00,0,10,9500,36.84,66.22,0.00,12
C12595,50.01,0.45,701.25,0.00,701.25,0.00,0.33,0.00,0.25,0.00,0,5,3500,1834.43,132.94,1.00,12
C12596,5115.71,1.00,4378.80,3195.58,1183.22,0.00,0.83,0.33,0.75,0.00,0,19,10000,2241.25,1320.01,0.00,12
C12597,984.72,1.00,10243.48,4316.82,5926.66,0.00,1.00,0.33,1.00,0.00,0,56,7500,11112.38,252.90,1.00,12
C12598,952.38,1.00,481.75,431.75,50.00,0.00,0.83,0.67,0.42,0.00,0,20,1200,449.28,273.50,0.00,12
C12599,160.68,0.91,993.50,896.00,97.50,0.00,0.33,0.17,0.17,0.00,0,9,6500,980.96,140.52,0.09,12
C12600,3461.18,1.00,200.00,200.00,0.00,108.41,0.08,0.08,0.00,0.08,1,1,3500,1322.74,3419.13,0.00,12
C12601,232.64,1.00,3161.02,2012.38,1148.64,0.00,1.00,0.58,1.00,0.00,0,22,7000,2608.40,156.42,0.40,12
C12602,126.13,1.00,1197.12,1197.12,0.00,0.00,1.00,1.00,0.00,0.00,0,12,9000,936.33,180.00,0.45,12
C12603,1958.65,0.86,1759.46,1759.46,0.00,3240.79,0.57,0.57,0.00,0.86,16,11,7000,226.88,415.24,0.00,7
C12604,24.10,1.00,294.00,0.00,294.00,0.00,1.00,0.00,1.00,0.00,0,12,5000,303.41,185.06,0.67,12
C12605,4424.77,0.83,0.00,0.00,0.00,7013.53,0.00,0.00,0.00,0.67,13,0,7000,864.14,983.38,0.00,6
C12606,2297.71,1.00,0.00,0.00,0.00,797.54,0.00,0.00,0.00,0.08,2,0,3000,893.63,469.99,0.00,12
C12607,1667.27,1.00,86.69,86.69,0.00,715.75,0.08,0.08,0.00,0.08,2,1,5500,313.75,351.09,0.00,12
C12608,74.25,1.00,952.16,463.04,489.12,0.00,1.00,0.92,0.58,0.00,0,24,7000,913.30,174.96,1.00,12
C12609,9.53,0.55,92.02,0.00,92.02,0.00,0.50,0.00,0.50,0.00,0,6,1600,100.92,82.44,0.50,12
C12610,95.85,0.55,796.90,0.00,796.90,0.00,0.75,0.00,0.75,0.00,0,9,1950,1475.77,160.57,0.22,12
C12611,772.21,1.00,1319.19,1296.69,22.50,1581.03,0.67,0.67,0.08,0.33,6,27,1200,2853.13,528.79,0.17,12
C12612,533.16,0.91,0.00,0.00,0.00,930.38,0.00,0.00,0.00,0.17,2,0,1800,1753.60,206.79,0.11,12
C12613,66.66,1.00,585.87,585.87,0.00,0.00,1.00,1.00,0.00,0.00,0,12,10000,570.48,182.61,1.00,12
C12614,918.40,0.45,0.00,0.00,0.00,3176.80,0.00,0.00,0.00,0.17,2,0,3500,4404.85,254.75,0.00,12
C12615,1630.68,1.00,0.00,0.00,0.00,275.17,0.00,0.00,0.00,0.09,1,0,1950,558.16,495.63,0.00,11
C12616,2384.26,1.00,0.00,0.00,0.00,99.11,0.00,0.00,0.00,0.17,2,0,2500,564.38,847.08,0.00,12
C12617,25.71,0.91,133.86,0.00,133.86,0.00,0.33,0.00,0.25,0.00,0,6,9500,148.21,167.95,0.22,12
C12618,956.30,0.86,1451.50,1451.50,0.00,0.00,0.57,0.57,0.00,0.00,0,54,1200,210.44,886.46,0.00,7
C12619,40.63,1.00,528.08,528.08,0.00,0.00,1.00,1.00,0.00,0.00,0,16,2000,384.32,174.89,0.33,12
C12620,5010.88,1.00,0.00,0.00,0.00,2181.39,0.00,0.00,0.00,0.25,7,0,7000,1327.69,1273.48,0.00,12
C12621,1822.26,1.00,0.00,0.00,0.00,1672.65,0.00,0.00,0.00,0.25,4,0,2500,589.39,428.29,0.00,12
C12622,4936.91,1.00,407.81,351.81,56.00,2790.47,0.33,0.25,0.08,0.33,7,4,5000,2189.55,2473.45,0.00,12
C12623,93.96,1.00,815.34,149.04,666.30,0.00,0.92,0.25,0.75,0.00,0,14,2500,361.79,125.69,0.30,12
C12624,512.95,1.00,4391.87,3943.37,448.50,422.50,1.00,1.00,0.67,0.17,2,46,16500,4962.46,175.71,0.92,12
C12625,680.89,1.00,2445.24,2253.76,191.48,0.00,1.00,1.00,0.33,0.00,0,36,3400,2082.62,192.20,0.00,12
C12626,2177.34,1.00,0.00,0.00,0.00,430.53,0.00,0.00,0.00,0.08,2,0,2500,943.91,663.69,0.00,12
C12627,1055.83,1.00,351.54,61.54,290.00,0.00,1.00,0.08,0.92,0.00,0,13,3000,585.02,251.54,0.00,12
C12628,153.95,0.36,0.00,0.00,0.00,3988.24,0.00,0.00,0.00,0.25,7,0,11500,2699.97,17.40,0.00,12
C12629,5906.18,1.00,141.80,141.80,0.00,1651.29,0.13,0.13,0.00,1.13,12,2,10000,933.97,919.29,0.00,8
C12630,1061.39,1.00,0.00,0.00,0.00,320.87,0.00,0.00,0.00,0.33,8,0,8500,273.38,319.91,0.00,12
C12631,8.19,0.11,0.00,0.00,0.00,793.85,0.00,0.00,0.00,0.11,1,0,1350,0.00,,0.00,9
C12632,126.02,1.00,1218.24,0.00,1218.24,0.00,1.00,0.00,1.00,0.00,0,18,5000,1040.64,153.82,0.27,12
C12633,462.60,1.00,1319.26,1319.26,0.00,0.00,0.08,0.08,0.00,0.00,0,1,3500,98.02,281.81,0.00,12
C12634,195.58,1.00,2984.34,2754.92,229.42,0.00,1.00,1.00,0.42,0.00,0,28,14500,1885.94,196.26,1.00,12
C12635,4759.70,1.00,614.01,473.01,141.00,6791.26,1.00,1.00,0.08,0.50,8,14,7500,7324.83,1023.04,0.00,12
C12636,1581.74,1.00,0.00,0.00,0.00,335.35,0.00,0.00,0.00,0.17,2,0,1800,463.89,448.97,0.00,12
C12637,1026.20,1.00,0.00,0.00,0.00,244.89,0.00,0.00,0.00,0.17,2,0,1200,440.52,320.38,0.00,12
C12638,1585.81,1.00,0.00,0.00,0.00,274.38,0.00,0.00,0.00,0.08,1,0,2000,566.30,351.84,0.00,12
C12639,645.18,0.64,0.00,0.00,0.00,2014.39,0.00,0.00,0.00,0.17,2,0,1400,2185.89,436.14,0.00,12
C12640,237.86,1.00,569.02,246.89,322.13,1431.67,0.50,0.08,0.42,0.08,3,6,3200,589.36,186.59,0.08,12
C12641,297.00,1.00,2729.00,1409.00,1320.00,0.00,1.00,0.08,1.00,0.00,0,14,16500,1275.40,177.97,0.25,12
C12642,2895.77,0.91,2753.35,1960.00,793.35,0.00,0.73,0.09,0.64,0.00,0,8,9000,861.25,906.39,0.00,11
C12643,14.58,0.27,87.30,0.00,87.30,0.00,0.08,0.00,0.08,0.00,0,1,8000,669.77,162.27,0.75,12
C12644,310.80,0.91,0.00,0.00,0.00,2810.46,0.00,0.00,0.00,0.17,2,0,7500,2811.54,111.34,0.10,12
C12645,3470.33,1.00,1184.98,757.95,427.03,6370.15,0.50,0.33,0.33,0.67,18,14,7000,4291.34,946.34,0.00,12
C12646,989.02,1.00,0.00,0.00,0.00,559.20,0.00,0.00,0.00,0.42,5,0,1200,1071.88,263.74,0.00,12
C12647,2048.83,1.00,3342.90,1907.90,1435.00,436.16,1.00,0.30,0.90,0.10,5,45,2500,1685.44,2766.44,0.00,10
C12648,3037.48,0.73,1225.79,0.00,1225.79,6560.35,1.00,0.00,1.00,0.25,10,58,5100,7799.25,1347.13,0.00,12
C12650,1072.26,1.00,0.00,0.00,0.00,39.27,0.00,0.00,0.00,0.08,1,0,1200,286.46,263.95,0.00,12
C12651,5097.92,1.00,139.67,139.67,0.00,3365.39,0.50,0.50,0.00,0.25,22,6,6000,3313.16,2759.80,0.00,12
C12652,975.82,1.00,66.72,0.00,66.72,0.00,0.33,0.00,0.33,0.00,0,4,1000,254.28,199.51,0.00,12
C12653,5827.83,1.00,577.98,358.02,219.96,2191.53,1.00,0.08,1.00,0.33,7,13,6000,1771.37,1842.76,0.00,12
C12654,7543.58,1.00,0.00,0.00,0.00,2925.56,0.00,0.00,0.00,0.08,9,0,8500,1738.42,1785.27,0.00,12
C12655,87.80,0.82,803.95,803.95,0.00,0.00,0.50,0.50,0.00,0.00,0,8,1000,1134.38,137.58,0.67,12
C12656,3268.30,1.00,340.57,250.48,90.09,2671.44,0.58,0.08,0.50,0.33,10,8,6000,1282.36,1027.05,0.00,12
C12657,45.30,1.00,451.01,0.00,451.01,0.00,1.00,0.00,1.00,0.00,0,78,7500,481.37,172.54,0.67,12
C12658,234.18,1.00,617.30,169.80,447.50,282.67,0.92,0.17,0.75,0.25,4,12,2500,1436.23,169.80,0.25,12
C12659,36.87,1.00,360.00,0.00,360.00,0.00,0.50,0.00,0.42,0.00,0,6,3000,286.43,91.31,0.00,12
C12660,334.13,0.82,0.00,0.00,0.00,1783.36,0.00,0.00,0.00,0.42,10,0,1400,1811.56,176.98,0.18,12
C12661,193.13,1.00,1955.98,0.00,1955.98,0.00,1.00,0.00,1.00,0.00,0,53,2500,1891.72,203.38,0.67,12
C12663,443.20,1.00,350.31,0.00,350.31,153.17,0.25,0.00,0.17,0.25,3,3,4500,398.34,223.46,0.00,12
C12664,23.39,0.64,291.70,0.00,291.70,0.00,0.58,0.00,0.58,0.00,0,7,2500,453.89,153.14,0.86,12
C12665,1872.93,1.00,382.50,310.00,72.50,0.00,0.42,0.42,0.08,0.00,0,7,1950,463.94,1005.85,0.00,12
C12666,2490.79,1.00,176.65,66.69,109.96,152.71,1.00,0.25,0.83,0.08,1,14,2500,857.98,746.42,0.00,12
C12667,3212.09,1.00,2203.68,1776.68,427.00,1076.47,1.00,1.00,0.75,0.17,3,25,6000,2007.45,908.10,0.00,12
C12668,339.41,1.00,14.28,0.00,14.28,0.00,0.42,0.00,0.42,0.00,0,5,10500,1263.29,1486.06,0.08,12
C12669,11077.99,1.00,3419.92,3419.92,0.00,7837.41,0.50,0.50,0.00,0.58,12,8,12000,10934.50,7294.95,0.00,12
C12670,899.20,0.91,921.94,256.10,665.84,5903.78,0.92,0.25,0.83,0.33,6,20,5000,6368.64,288.47,0.09,12
C12671,1154.41,0.91,0.00,0.00,0.00,2593.40,0.00,0.00,0.00,0.08,1,0,3000,2607.11,471.64,0.09,12
C12672,846.22,0.55,437.60,437.60,0.00,4638.44,0.08,0.08,0.00,0.33,7,1,14500,1092.82,203.61,0.00,12
C12673,597.44,1.00,0.00,0.00,0.00,36.58,0.00,0.00,0.00,0.08,1,0,1500,1572.91,160.10,0.18,12
C12674,4413.80,1.00,0.00,0.00,0.00,2007.04,0.00,0.00,0.00,0.67,11,0,5000,1305.91,1423.18,0.00,12
C12675,3586.05,1.00,141.00,40.00,101.00,1072.40,0.50,0.08,0.42,0.25,3,7,4350,3843.80,11760.92,0.00,12
C12676,1965.76,1.00,889.66,580.09,309.57,0.00,1.00,0.58,1.00,0.00,0,34,2500,2613.00,691.37,0.00,12
C12677,19.90,0.73,375.23,0.00,375.23,0.00,0.92,0.00,0.83,0.00,0,11,6000,390.11,90.48,0.44,12
C12678,2740.10,1.00,169.19,169.19,0.00,464.04,0.08,0.08,0.00,0.08,1,2,3200,1108.37,625.83,0.00,12
C12679,393.70,1.00,0.00,0.00,0.00,673.64,0.00,0.00,0.00,0.17,3,0,1000,319.09,185.01,0.00,12
C12680,459.13,1.00,223.34,0.00,223.34,0.00,0.67,0.00,0.67,0.00,0,9,500,498.40,455.87,0.00,12
C12681,4805.16,1.00,0.00,0.00,0.00,949.59,0.00,0.00,0.00,0.08,2,0,8500,1260.88,1622.41,0.00,12
C12682,6668.98,1.00,0.00,0.00,0.00,2230.44,0.00,0.00,0.00,0.33,7,0,7500,1752.33,2371.32,0.00,12
C12683,1238.05,1.00,45.65,45.65,0.00,2475.66,0.08,0.08,0.00,0.42,10,1,1500,2643.11,477.49,0.08,12
C12684,7801.51,1.00,231.40,231.40,0.00,4109.47,0.10,0.10,0.00,1.10,20,3,13500,1593.62,1522.50,0.00,10
C12685,1114.51,1.00,602.07,0.00,602.07,0.00,1.00,0.00,0.83,0.00,0,15,1800,676.49,248.44,0.00,12
C12686,1212.43,1.00,265.22,265.22,0.00,0.00,0.17,0.17,0.00,0.00,0,2,3000,332.76,441.12,0.00,12
C12687,210.87,1.00,664.05,664.05,0.00,0.00,0.20,0.20,0.00,0.00,0,5,7500,728.19,140.35,0.00,10
C12688,6493.03,1.00,447.50,447.50,0.00,1664.47,0.42,0.42,0.00,0.58,8,6,8000,1907.60,1874.46,0.00,12
C12689,3106.04,1.00,2128.56,1036.24,1092.32,2346.89,0.92,0.42,0.75,0.42,8,27,7200,5564.78,697.46,0.00,12
C12690,909.56,1.00,912.10,669.88,242.22,752.06,0.25,0.25,0.17,0.42,11,16,1200,1476.33,668.37,0.08,12
C12691,3633.53,1.00,383.20,383.20,0.00,49.17,0.08,0.08,0.00,0.08,1,2,11000,1061.68,953.46,0.00,12
C12692,86.65,0.73,910.51,0.00,910.51,0.00,0.58,0.00,0.50,0.00,0,14,7000,884.06,126.34,0.67,12
C12693,86.55,0.82,789.45,789.45,0.00,0.00,0.42,0.42,0.00,0.00,0,5,2500,1370.17,119.65,0.11,12
C12694,144.51,0.73,758.50,0.00,758.50,0.00,0.67,0.00,0.58,0.00,0,12,3000,860.55,192.20,0.14,12
C12695,1182.32,1.00,0.00,0.00,0.00,258.14,0.00,0.00,0.00,0.58,8,0,1200,503.16,326.34,0.00,12
C12696,32.82,1.00,644.99,0.00,644.99,0.00,1.00,0.00,1.00,0.00,0,33,4000,579.02,75.94,0.30,12
C12697,1.37,0.14,60.00,60.00,0.00,0.00,0.14,0.14,0.00,0.00,0,1,4000,0.00,,0.00,7
C12698,119.60,1.00,1068.28,0.00,1068.28,0.00,1.00,0.00,0.89,0.00,0,18,1000,828.17,131.58,1.00,9
C12699,134.24,1.00,420.00,287.00,133.00,0.00,0.58,0.08,0.42,0.00,0,7,7500,519.44,190.48,0.00,12
C12700,128.49,1.00,462.86,0.00,462.86,0.00,1.00,0.00,1.00,0.00,0,34,3000,381.36,171.90,0.00,12
C12701,749.17,0.78,164.90,164.90,0.00,1806.07,0.11,0.11,0.00,0.67,10,2,2000,191.00,244.58,0.00,9
C12702,1544.59,1.00,0.00,0.00,0.00,549.06,0.00,0.00,0.00,0.08,2,0,2000,408.07,478.10,0.00,12
C12703,172.13,1.00,1666.95,0.00,1666.95,0.00,1.00,0.00,1.00,0.00,0,38,2500,1326.10,163.00,0.92,12
C12704,266.48,0.27,0.00,0.00,0.00,1560.74,0.00,0.00,0.00,0.17,2,0,1500,792.62,226.59,0.00,12
C12705,549.92,1.00,1556.66,912.70,643.96,0.00,1.00,1.00,1.00,0.00,0,41,11000,2285.32,178.69,0.00,12
C12706,0.00,0.00,1090.69,815.70,274.99,0.00,0.50,0.17,0.42,0.00,0,17,1800,0.00,,0.00,12
C12707,8559.24,1.00,170.00,170.00,0.00,3260.30,0.08,0.08,0.00,0.25,11,1,9000,1541.11,4403.02,0.00,12
C12708,6810.40,1.00,635.76,164.32,471.44,3863.41,0.92,0.08,0.92,0.25,13,17,10000,3161.15,3781.91,0.00,12
C12709,2917.66,1.00,141.81,141.81,0.00,2431.29,0.17,0.17,0.00,0.58,10,2,8000,993.29,1013.06,0.00,12
C12710,542.81,1.00,220.62,220.62,0.00,0.00,0.17,0.17,0.00,0.00,0,3,2000,608.78,166.73,0.00,12
C12712,2362.64,1.00,2826.99,1496.59,1330.40,0.00,1.00,0.75,1.00,0.00,0,97,3000,1748.69,984.33,0.00,12
C12713,4164.80,1.00,784.63,617.54,167.09,0.00,0.45,0.45,0.18,0.00,0,16,9000,1072.43,1311.06,0.00,11
C12714,1304.46,1.00,0.00,0.00,0.00,78.76,0.00,0.00,0.00,0.17,2,0,1500,395.14,368.59,0.00,12
C12715,1601.69,1.00,61.46,0.00,61.46,0.00,0.25,0.00,0.25,0.00,0,6,4000,399.37,512.76,0.00,12
C12716,4556.54,0.91,1450.00,1450.00,0.00,2260.74,0.09,0.09,0.00,0.18,2,1,9000,1010.85,917.57,0.00,11
C12717,751.40,1.00,1977.50,747.50,1230.00,611.97,0.83,0.50,0.50,0.08,1,21,3500,1068.05,267.92,0.10,12
C12718,1510.11,1.00,1895.25,541.57,1353.68,0.00,1.00,0.17,0.75,0.00,0,23,9000,1711.90,313.13,0.00,12
C12719,3490.86,1.00,1039.48,1039.48,0.00,4200.99,0.08,0.08,0.00,0.25,10,3,9000,1091.42,1048.66,0.00,12
C12720,6384.36,1.00,1856.84,1394.21,462.63,2144.18,0.33,0.33,0.17,0.75,26,19,7500,2275.69,1485.83,0.00,12
C12721,1327.65,1.00,20.90,20.90,0.00,0.00,0.08,0.08,0.00,0.00,0,1,1500,287.69,483.25,0.00,12
C12722,9226.65,1.00,671.31,671.31,0.00,6171.93,0.50,0.50,0.00,0.50,12,12,12000,2726.32,3129.40,0.00,12
C12723,3441.52,1.00,358.68,0.00,358.68,0.00,1.00,0.00,0.92,0.00,0,12,7500,1376.00,751.65,0.00,12
C12724,1117.34,1.00,474.96,0.00,474.96,0.00,1.00,0.00,1.00,0.00,0,12,1000,609.84,3449.63,0.00,12
C12725,1828.62,1.00,0.00,0.00,0.00,689.19,0.00,0.00,0.00,0.08,1,0,2300,2466.96,471.94,0.00,12
C12726,3011.47,1.00,582.28,0.00,582.28,3325.30,1.00,0.00,1.00,0.33,8,14,6500,2975.13,1001.23,0.00,12
C12727,99.68,0.82,0.00,0.00,0.00,437.40,0.00,0.00,0.00,0.33,5,0,10500,661.88,122.78,0.33,12
C12728,1517.56,1.00,0.00,0.00,0.00,456.40,0.00,0.00,0.00,0.17,2,0,1950,473.18,381.27,0.00,12
C12729,101.03,0.45,0.00,0.00,0.00,1846.25,0.00,0.00,0.00,0.33,10,0,6500,5321.02,82.04,1.00,12
C12730,12.74,0.91,152.73,0.00,152.73,0.00,0.75,0.00,0.67,0.00,0,9,1200,159.15,130.83,0.56,12
C12731,1135.82,1.00,520.24,520.24,0.00,0.00,0.58,0.58,0.00,0.00,0,10,1200,706.61,785.96,0.00,12
C12732,24.17,0.73,270.00,0.00,270.00,0.00,0.82,0.00,0.82,0.00,0,6,8500,378.19,102.15,0.71,11
C12733,763.70,1.00,1229.42,1229.42,0.00,0.00,1.00,1.00,0.00,0.00,0,34,7000,2422.74,294.62,0.00,12
C12734,8073.91,1.00,0.00,0.00,0.00,3860.70,0.00,0.00,0.00,0.92,25,0,8500,2414.31,2333.80,0.00,12
C12735,745.16,1.00,485.17,485.17,0.00,0.00,0.17,0.17,0.00,0.00,0,2,3000,191.11,285.88,0.00,12
C12736,32.92,0.73,192.99,68.60,124.39,0.00,0.33,0.08,0.25,0.00,0,5,6000,153.98,137.92,0.09,12
C12737,8198.63,1.00,0.00,0.00,0.00,2909.75,0.00,0.00,0.00,0.42,6,0,14000,2141.72,2007.05,0.00,12
C12738,623.96,0.82,0.00,0.00,0.00,2119.70,0.00,0.00,0.00,0.17,3,0,1200,1838.85,174.87,0.25,12
C12739,2123.48,1.00,2453.18,2051.52,401.66,0.00,0.58,0.50,0.50,0.00,0,33,7500,517.97,519.27,0.00,12
C12740,939.35,1.00,50.00,50.00,0.00,0.00,0.08,0.08,0.00,0.00,0,1,1000,315.44,628.16,0.00,12
C12741,1372.49,1.00,3005.25,1507.99,1497.26,315.12,1.00,0.83,1.00,0.17,2,61,3000,3462.39,405.08,0.00,12
C12742,123.06,1.00,151.92,0.00,151.92,0.00,1.00,0.00,1.00,0.00,0,12,3500,447.18,171.75,0.08,12
C12743,72.79,1.00,227.64,0.00,227.64,0.00,1.00,0.00,1.00,0.00,0,12,2500,159.04,170.52,0.00,12
C12744,2376.97,1.00,0.00,0.00,0.00,1321.91,0.00,0.00,0.00,0.33,4,0,3000,549.46,557.92,0.00,12
C12745,57.26,0.82,472.50,472.50,0.00,0.00,0.75,0.75,0.00,0.00,0,9,7227.272727,598.24,174.28,0.90,12
C12746,7499.66,1.00,160.00,160.00,0.00,3603.79,0.17,0.17,0.00,0.17,3,2,13550,1962.97,1849.31,0.00,12
C12747,1564.40,0.73,1330.00,0.00,1330.00,1906.44,0.42,0.00,0.42,0.08,1,6,8000,1078.91,825.49,0.14,12
C12748,4644.78,1.00,4820.68,4063.61,757.07,0.00,0.83,0.75,0.50,0.00,0,54,9200,1076.14,1324.45,0.00,12
C12749,7418.31,1.00,901.62,858.82,42.80,0.00,0.33,0.17,0.17,0.00,0,4,14500,2273.95,1696.79,0.00,12
